GEO,COUNTRY,ZONE,YEAR_IN,YEAR_OUT
AT,ÿAustria,EA,1999,2500
AT,ÿAustria,EA12,1999,2500
AT,ÿAustria,EA13,1999,2500
AT,ÿAustria,EA16,1999,2500
AT,ÿAustria,EA17,1999,2500
AT,ÿAustria,EA18,1999,2500
AT,ÿAustria,EA19,1999,2500
AT,ÿAustria,EEA,1994,2500
AT,ÿAustria,EEA18,1994,2500
AT,ÿAustria,EEA28,1994,2500
AT,ÿAustria,EEA30,1994,2500
AT,ÿAustria,EU,1995,2500
AT,ÿAustria,EU15,1995,2500
AT,ÿAustria,EU25,1995,2500
AT,ÿAustria,EU27,1995,2500
AT,ÿAustria,EU28,1995,2500
BE,ÿBelgium,EA,1999,2500
BE,ÿBelgium,EA12,1999,2500
BE,ÿBelgium,EA13,1999,2500
BE,ÿBelgium,EA16,1999,2500
BE,ÿBelgium,EA17,1999,2500
BE,ÿBelgium,EA18,1999,2500
BE,ÿBelgium,EA19,1999,2500
BE,ÿBelgium,EEA,1994,2500
BE,ÿBelgium,EEA18,1994,2500
BE,ÿBelgium,EEA28,1994,2500
BE,ÿBelgium,EEA30,1994,2500
BE,ÿBelgium,EU,1957,2500
BE,ÿBelgium,EU07,1957,2500
BE,ÿBelgium,EU09,1957,2500
BE,ÿBelgium,EU10,1957,2500
BE,ÿBelgium,EU12,1957,2500
BE,ÿBelgium,EU15,1957,2500
BE,ÿBelgium,EU25,1957,2500
BE,ÿBelgium,EU27,1957,2500
BE,ÿBelgium,EU28,1957,2500
BG,ÿBulgaria,EEA,2011,2500
BG,ÿBulgaria,EEA30,2011,2500
BG,ÿBulgaria,EU,2007,2500
BG,ÿBulgaria,EU27,2007,2500
BG,ÿBulgaria,EU28,2007,2500
CY,ÿCyprus,EA,2008,2500
CY,ÿCyprus,EA16,2008,2500
CY,ÿCyprus,EA17,2008,2500
CY,ÿCyprus,EA18,2008,2500
CY,ÿCyprus,EA19,2008,2500
CY,ÿCyprus,EEA,2005,2500
CY,ÿCyprus,EEA28,2005,2500
CY,ÿCyprus,EEA30,2005,2500
CY,ÿCyprus,EU,2004,2500
CY,ÿCyprus,EU25,2004,2500
CY,ÿCyprus,EU27,2004,2500
CY,ÿCyprus,EU28,2004,2500
CZ,ÿCzech Republic,EEA,2005,2500
CZ,ÿCzech Republic,EEA28,2005,2500
CZ,ÿCzech Republic,EEA30,2005,2500
CZ,ÿCzech Republic,EU,2004,2500
CZ,ÿCzech Republic,EU25,2004,2500
CZ,ÿCzech Republic,EU27,2004,2500
CZ,ÿCzech Republic,EU28,2004,2500
DE,ÿGermany,EA,1999,2500
DE,ÿGermany,EA12,1999,2500
DE,ÿGermany,EA13,1999,2500
DE,ÿGermany,EA16,1999,2500
DE,ÿGermany,EA17,1999,2500
DE,ÿGermany,EA18,1999,2500
DE,ÿGermany,EA19,1999,2500
DE,ÿGermany,EEA,1994,2500
DE,ÿGermany,EEA18,1994,2500
DE,ÿGermany,EEA28,1994,2500
DE,ÿGermany,EEA30,1994,2500
DE,ÿGermany,EU,1957,2500
DE,ÿGermany,EU07,1957,2500
DE,ÿGermany,EU09,1957,2500
DE,ÿGermany,EU10,1957,2500
DE,ÿGermany,EU12,1957,2500
DE,ÿGermany,EU15,1957,2500
DE,ÿGermany,EU25,1957,2500
DE,ÿGermany,EU27,1957,2500
DE,ÿGermany,EU28,1957,2500
DK,ÿDenmark,EEA,1994,2500
DK,ÿDenmark,EEA18,1994,2500
DK,ÿDenmark,EEA28,1994,2500
DK,ÿDenmark,EEA30,1994,2500
DK,ÿDenmark,EU,1973,2500
DK,ÿDenmark,EU09,1973,2500
DK,ÿDenmark,EU10,1973,2500
DK,ÿDenmark,EU12,1973,2500
DK,ÿDenmark,EU15,1973,2500
DK,ÿDenmark,EU25,1973,2500
DK,ÿDenmark,EU27,1973,2500
DK,ÿDenmark,EU28,1973,2500
EE,ÿEstonia,EA,2011,2500
EE,ÿEstonia,EA17,2011,2500
EE,ÿEstonia,EA18,2011,2500
EE,ÿEstonia,EA19,2011,2500
EE,ÿEstonia,EEA,2005,2500
EE,ÿEstonia,EEA28,2005,2500
EE,ÿEstonia,EEA30,2005,2500
EE,ÿEstonia,EU,2004,2500
EE,ÿEstonia,EU25,2004,2500
EE,ÿEstonia,EU27,2004,2500
EE,ÿEstonia,EU28,2004,2500
EL,ÿGreece,EA,2001,2500
EL,ÿGreece,EA12,2001,2500
EL,ÿGreece,EA13,2001,2500
EL,ÿGreece,EA16,2001,2500
EL,ÿGreece,EA17,2001,2500
EL,ÿGreece,EA18,2001,2500
EL,ÿGreece,EA19,2001,2500
EL,ÿGreece,EEA,1994,2500
EL,ÿGreece,EEA18,1994,2500
EL,ÿGreece,EEA28,1994,2500
EL,ÿGreece,EEA30,1994,2500
EL,ÿGreece,EU,1981,2500
EL,ÿGreece,EU10,1981,2500
EL,ÿGreece,EU12,1981,2500
EL,ÿGreece,EU15,1981,2500
EL,ÿGreece,EU25,1981,2500
EL,ÿGreece,EU27,1981,2500
EL,ÿGreece,EU28,1981,2500
ES,ÿSpain,EA,1999,2500
ES,ÿSpain,EA12,1999,2500
ES,ÿSpain,EA13,1999,2500
ES,ÿSpain,EA16,1999,2500
ES,ÿSpain,EA17,1999,2500
ES,ÿSpain,EA18,1999,2500
ES,ÿSpain,EA19,1999,2500
ES,ÿSpain,EEA,1994,2500
ES,ÿSpain,EEA18,1994,2500
ES,ÿSpain,EEA28,1994,2500
ES,ÿSpain,EEA30,1994,2500
ES,ÿSpain,EU,1986,2500
ES,ÿSpain,EU12,1986,2500
ES,ÿSpain,EU15,1986,2500
ES,ÿSpain,EU25,1986,2500
ES,ÿSpain,EU27,1986,2500
ES,ÿSpain,EU28,1986,2500
FI,ÿFinland,EA,1999,2500
FI,ÿFinland,EA12,1999,2500
FI,ÿFinland,EA13,1999,2500
FI,ÿFinland,EA16,1999,2500
FI,ÿFinland,EA17,1999,2500
FI,ÿFinland,EA18,1999,2500
FI,ÿFinland,EA19,1999,2500
FI,ÿFinland,EEA,1994,2500
FI,ÿFinland,EEA18,1994,2500
FI,ÿFinland,EEA28,1994,2500
FI,ÿFinland,EEA30,1994,2500
FI,ÿFinland,EU,1995,2500
FI,ÿFinland,EU15,1995,2500
FI,ÿFinland,EU25,1995,2500
FI,ÿFinland,EU27,1995,2500
FI,ÿFinland,EU28,1995,2500
FR,ÿFrance,EA,1999,2500
FR,ÿFrance,EA12,1999,2500
FR,ÿFrance,EA13,1999,2500
FR,ÿFrance,EA16,1999,2500
FR,ÿFrance,EA17,1999,2500
FR,ÿFrance,EA18,1999,2500
FR,ÿFrance,EA19,1999,2500
FR,ÿFrance,EEA,1994,2500
FR,ÿFrance,EEA18,1994,2500
FR,ÿFrance,EEA28,1994,2500
FR,ÿFrance,EEA30,1994,2500
FR,ÿFrance,EU,1957,2500
FR,ÿFrance,EU07,1957,2500
FR,ÿFrance,EU09,1957,2500
FR,ÿFrance,EU10,1957,2500
FR,ÿFrance,EU12,1957,2500
FR,ÿFrance,EU15,1957,2500
FR,ÿFrance,EU25,1957,2500
FR,ÿFrance,EU27,1957,2500
FR,ÿFrance,EU28,1957,2500
HR,Croatia,EEA,2012,2500
HR,ÿCroatia,EU,2010,2500
HR,ÿCroatia,EU28,2010,2500
HU,ÿHungary,EEA,2005,2500
HU,ÿHungary,EEA28,2005,2500
HU,ÿHungary,EEA30,2005,2500
HU,ÿHungary,EU,2004,2500
HU,ÿHungary,EU25,2004,2500
HU,ÿHungary,EU27,2004,2500
HU,ÿHungary,EU28,2004,2500
IE,ÿIreland,EA,1999,2500
IE,ÿIreland,EA12,1999,2500
IE,ÿIreland,EA13,1999,2500
IE,ÿIreland,EA16,1999,2500
IE,ÿIreland,EA17,1999,2500
IE,ÿIreland,EA18,1999,2500
IE,ÿIreland,EA19,1999,2500
IE,ÿIreland,EEA,1994,2500
IE,ÿIreland,EEA18,1994,2500
IE,ÿIreland,EEA28,1994,2500
IE,ÿIreland,EEA30,1994,2500
IE,ÿIreland,EU,1973,2500
IE,ÿIreland,EU09,1973,2500
IE,ÿIreland,EU10,1973,2500
IE,ÿIreland,EU12,1973,2500
IE,ÿIreland,EU15,1973,2500
IE,ÿIreland,EU25,1973,2500
IE,ÿIreland,EU27,1973,2500
IE,ÿIreland,EU28,1973,2500
IS,ÿIceland,EEA,1994,2500
IS,ÿIceland,EEA18,1994,2500
IS,ÿIceland,EEA28,1994,2500
IS,ÿIceland,EEA30,1994,2500
IT,ÿItaly,EA,1999,2500
IT,ÿItaly,EA12,1999,2500
IT,ÿItaly,EA13,1999,2500
IT,ÿItaly,EA16,1999,2500
IT,ÿItaly,EA17,1999,2500
IT,ÿItaly,EA18,1999,2500
IT,ÿItaly,EA19,1999,2500
IT,ÿItaly,EEA,1994,2500
IT,ÿItaly,EEA18,1994,2500
IT,ÿItaly,EEA28,1994,2500
IT,ÿItaly,EEA30,1994,2500
IT,ÿItaly,EU,1957,2500
IT,ÿItaly,EU07,1957,2500
IT,ÿItaly,EU09,1957,2500
IT,ÿItaly,EU10,1957,2500
IT,ÿItaly,EU12,1957,2500
IT,ÿItaly,EU15,1957,2500
IT,ÿItaly,EU25,1957,2500
IT,ÿItaly,EU27,1957,2500
IT,ÿItaly,EU28,1957,2500
LI,ÿLiechtenstein,EEA,1995,2500
LI,ÿLiechtenstein,EEA18,1995,2500
LI,ÿLiechtenstein,EEA28,1995,2500
LI,ÿLiechtenstein,EEA30,1995,2500
LT,ÿLithuania,EA,2015,2500
LT,ÿLithuania,EA19,2015,2500
LT,ÿLithuania,EEA,2005,2500
LT,ÿLithuania,EEA28,2005,2500
LT,ÿLithuania,EEA30,2005,2500
LT,ÿLithuania,EU,2004,2500
LT,ÿLithuania,EU25,2004,2500
LT,ÿLithuania,EU27,2004,2500
LT,ÿLithuania,EU28,2004,2500
LU,ÿLuxembourg,EA,1999,2500
LU,ÿLuxembourg,EA12,1999,2500
LU,ÿLuxembourg,EA13,1999,2500
LU,ÿLuxembourg,EA16,1999,2500
LU,ÿLuxembourg,EA17,1999,2500
LU,ÿLuxembourg,EA18,1999,2500
LU,ÿLuxembourg,EA19,1999,2500
LU,ÿLuxembourg,EEA,1994,2500
LU,ÿLuxembourg,EEA18,1994,2500
LU,ÿLuxembourg,EEA28,1994,2500
LU,ÿLuxembourg,EEA30,1994,2500
LU,ÿLuxembourg,EU,1957,2500
LU,ÿLuxembourg,EU07,1957,2500
LU,ÿLuxembourg,EU09,1957,2500
LU,ÿLuxembourg,EU10,1957,2500
LU,ÿLuxembourg,EU12,1957,2500
LU,ÿLuxembourg,EU15,1957,2500
LU,ÿLuxembourg,EU25,1957,2500
LU,ÿLuxembourg,EU27,1957,2500
LU,ÿLuxembourg,EU28,1957,2500
LV,ÿLatvia,EA,2014,2500
LV,ÿLatvia,EA18,2014,2500
LV,ÿLatvia,EA19,2014,2500
LV,ÿLatvia,EEA,2005,2500
LV,ÿLatvia,EEA28,2005,2500
LV,ÿLatvia,EEA30,2005,2500
LV,ÿLatvia,EU,2004,2500
LV,ÿLatvia,EU25,2004,2500
LV,ÿLatvia,EU27,2004,2500
LV,ÿLatvia,EU28,2004,2500
MT,ÿMalta,EA,2008,2500
MT,ÿMalta,EA16,2008,2500
MT,ÿMalta,EA17,2008,2500
MT,ÿMalta,EA18,2008,2500
MT,ÿMalta,EA19,2008,2500
MT,ÿMalta,EEA,2005,2500
MT,ÿMalta,EEA28,2005,2500
MT,ÿMalta,EEA30,2005,2500
MT,ÿMalta,EU,2004,2500
MT,ÿMalta,EU25,2004,2500
MT,ÿMalta,EU27,2004,2500
MT,ÿMalta,EU28,2004,2500
NL,ÿNetherlands,EA,1999,2500
NL,ÿNetherlands,EA12,1999,2500
NL,ÿNetherlands,EA13,1999,2500
NL,ÿNetherlands,EA16,1999,2500
NL,ÿNetherlands,EA17,1999,2500
NL,ÿNetherlands,EA18,1999,2500
NL,ÿNetherlands,EA19,1999,2500
NL,ÿNetherlands,EEA,1994,2500
NL,ÿNetherlands,EEA18,1994,2500
NL,ÿNetherlands,EEA28,1994,2500
NL,ÿNetherlands,EEA30,1994,2500
NL,ÿNetherlands,EU,1957,2500
NL,ÿNetherlands,EU07,1957,2500
NL,ÿNetherlands,EU09,1957,2500
NL,ÿNetherlands,EU10,1957,2500
NL,ÿNetherlands,EU12,1957,2500
NL,ÿNetherlands,EU15,1957,2500
NL,ÿNetherlands,EU25,1957,2500
NL,ÿNetherlands,EU27,1957,2500
NL,ÿNetherlands,EU28,1957,2500
NO,ÿNorway,EEA,1994,2500
NO,ÿNorway,EEA18,1994,2500
NO,ÿNorway,EEA28,1994,2500
NO,ÿNorway,EEA30,1994,2500
PL,ÿPoland,EEA,2005,2500
PL,ÿPoland,EEA28,2005,2500
PL,ÿPoland,EEA30,2005,2500
PL,ÿPoland,EU,2004,2500
PL,ÿPoland,EU25,2004,2500
PL,ÿPoland,EU27,2004,2500
PL,ÿPoland,EU28,2004,2500
PT,ÿPortugal,EA,1999,2500
PT,ÿPortugal,EA12,1999,2500
PT,ÿPortugal,EA13,1999,2500
PT,ÿPortugal,EA16,1999,2500
PT,ÿPortugal,EA17,1999,2500
PT,ÿPortugal,EA18,1999,2500
PT,ÿPortugal,EA19,1999,2500
PT,ÿPortugal,EEA,1994,2500
PT,ÿPortugal,EEA18,1994,2500
PT,ÿPortugal,EEA28,1994,2500
PT,ÿPortugal,EEA30,1994,2500
PT,ÿPortugal,EU,1986,2500
PT,ÿPortugal,EU12,1986,2500
PT,ÿPortugal,EU15,1986,2500
PT,ÿPortugal,EU25,1986,2500
PT,ÿPortugal,EU27,1986,2500
PT,ÿPortugal,EU28,1986,2500
RO,ÿRomania,EEA,2011,2500
RO,ÿRomania,EEA30,2011,2500
RO,ÿRomania,EU,2007,2500
RO,ÿRomania,EU27,2007,2500
RO,ÿRomania,EU28,2007,2500
SE,ÿSweden,EEA,1994,2500
SE,ÿSweden,EEA18,1994,2500
SE,ÿSweden,EEA28,1994,2500
SE,ÿSweden,EEA30,1994,2500
SE,ÿSweden,EU,1995,2500
SE,ÿSweden,EU15,1995,2500
SE,ÿSweden,EU25,1995,2500
SE,ÿSweden,EU27,1995,2500
SE,ÿSweden,EU28,1995,2500
SI,ÿSlovenia,EA,2007,2500
SI,ÿSlovenia,EA13,2007,2500
SI,ÿSlovenia,EA16,2007,2500
SI,ÿSlovenia,EA17,2007,2500
SI,ÿSlovenia,EA18,2007,2500
SI,ÿSlovenia,EA19,2007,2500
SI,ÿSlovenia,EEA,2005,2500
SI,ÿSlovenia,EEA28,2005,2500
SI,ÿSlovenia,EEA30,2005,2500
SI,ÿSlovenia,EU,2004,2500
SI,ÿSlovenia,EU25,2004,2500
SI,ÿSlovenia,EU27,2004,2500
SI,ÿSlovenia,EU28,2004,2500
SK,ÿSlovakia,EA,2009,2500
SK,ÿSlovakia,EA16,2009,2500
SK,ÿSlovakia,EA17,2009,2500
SK,ÿSlovakia,EA18,2009,2500
SK,ÿSlovakia,EA19,2009,2500
SK,ÿSlovakia,EEA,2005,2500
SK,ÿSlovakia,EEA28,2005,2500
SK,ÿSlovakia,EEA30,2005,2500
SK,ÿSlovakia,EU,2004,2500
SK,ÿSlovakia,EU25,2004,2500
SK,ÿSlovakia,EU27,2004,2500
SK,ÿSlovakia,EU28,2004,2500
UK,ÿUnited Kingdom,EEA,1994,2500
UK,ÿUnited Kingdom,EEA18,1994,2500
UK,ÿUnited Kingdom,EEA28,1994,2500
UK,ÿUnited Kingdom,EEA30,1994,2500
UK,ÿUnited Kingdom,EU,1973,2500
UK,ÿUnited Kingdom,EU07,1973,2500
UK,ÿUnited Kingdom,EU09,1973,2500
UK,ÿUnited Kingdom,EU10,1973,2500
UK,ÿUnited Kingdom,EU12,1973,2500
UK,ÿUnited Kingdom,EU15,1973,2500
UK,ÿUnited Kingdom,EU25,1973,2500
UK,ÿUnited Kingdom,EU27,1973,2500
UK,ÿUnited Kingdom,EU28,1973,2500
IS,ÿIceland,EFTA,1970,2500
LI,ÿLiechtenstein,EFTA,1991,2500
NO,ÿNorway,EFTA,1960,2500
CH,ÿÿSwitzerland,EFTA,1960,2500
AT,ÿAustria,EFTA,1960,1995
DK,ÿDenmark,EFTA,1960,1973
FI,ÿFinland,EFTA,1960,1995
PT,ÿPortugal,EFTA,1960,1986
SE,ÿSweden,EFTA,1960,1995
UK,ÿUnited Kingdom,EFTA,1960,1973
MK,FYROM,OTH,2005,2500
RS,Serbia,OTH,2012,2500
TR,Turkey,OTH,2500,2500
AL,Albania,OTH,2500,2500
BA,Bosnia,OTH,2500,2500
XK,Kosovo,OTH,2500,2500
